text,language,predictions
@user @user con una navaja en el pescuezo todo se soluciona 🤓,Spanish,2.3788912
@user SKY scored 4 less runs just lol,English,2.780618
"@eldiarioes ¿Que en VoX las mujeres están por detrás de los hombres? Chorprecha!!. Otra noticia, amiga, la lluvia moja.",Spanish,2.4836113
@user @felipeneto Aquele momento que eu não sei se este tweet é zoação ou sério...,Portuguese,2.514235
Joa hey quiero tomarrrr,Spanish,2.8167999
caralho to com sono,Italian,2.6291106
", Brayden told my mama he not happy I’m having a baby😢.",English,2.5292149
삶은 뺑 오 쇼콜라다 http,Korean,2.6929352
@user @user pyjama is het beste want je bepaalt zelf wat je pyjama is,Dutch,2.8263218
@user @user Wilma heeft wel veel fantasie. Complottheorie fantasie. En zijn geen FvdD trollen.,Dutch,2.7748191
@ChineseWSJ 你他妈的搞有罪推定是吧,Chinese,2.4642532
"¿Medio ambiente, seguridad? El tape no fue el correcto candidata!! #DebatesCiudadanos",Spanish,2.4611068
@user Sisi ma capisco cioè 💜,Italian,2.7591677
Ya me cansan los threesome' y las orgías Ya me cansa que mi vida siga vacía,Spanish,2.578793
@user कर बजी क्या सकती हो🙄🙄🙄,Hindi,2.6792274
@user Estas hablando con los creadores @user,Spanish,2.4017766
다 풀고왓다,Korean,2.5098298
@user Minnesota game all over again. Terrible late turnovers by Pritzl &amp; Happ.,English,2.594268
@user @user @user Vabbè ma trovami uno che frequenta gli stadi a cui possa piacere...,Italian,2.6018612
"From here on out, using our greatest smiles and lovely singing voices, we'll make everyone happy♡",English,2.4767404
@user opgerot met je onleesbare tweets denk ff na,Dutch,2.8184307
"@ZeeNews कुछ ""हरामी पत्रकारों"" की जलन से पता चलता है कि राहुल गांधी जी सही दिशा में जा रहें हैं। #NyayForIndia #RahulForBehtarBharat",Hindi,2.7684155
ابي قُربك ومتى فيك التقي ابي اغني ياسمِا شوفي من معَي.,Arabic,2.575782
@user @user Il adore se retrouver devant les caméras ! et souhaite laisser son nom dans l’histoire (pas gagné!)🤡,French,2.5330536
@user en sois on à pour la plupart était un peu des deux même inconsciemment,French,2.5978394
@SaskiaBelleman Omdat ze gek zijn op die doofpot!!!😬😈👹👿👺👹👿,Dutch,2.8198767
Private Yoga Instruction - Tailored to your needs http,English,2.402446
"@user La vérité, ils ont eu que de la chance",French,2.4521902
우편토요일날올줄알앗는데 31;@;일에 부산우체국에 서멈춰잇음.대체왜요,Korean,2.6618361
"@rautsanjay61 माफी मांगते संजय राउते,फिर सत्य मेव जयते",Hindi,2.5390236
@user 自由の！！！ もとに！！！ 生まれた！！！！！！！！！！,Chinese,2.8297951
"La diferencia entre vos y yo, es que yo veo y me preocupo más allá de mi ego. Vos no.",Spanish,2.5219138
"@NOS Hebben we nog niet genoeg uit afrika "" gehaald""?",Dutch,3.0831172
「夢不到電子羊你還有獨角獸」&lt;&lt;決定了!!!這是我的新社團名,Chinese,2.7419326
제주자치경찰단장 후보 징계 ‘임명 안갯속’,Korean,2.3289828
@user @user Ik heb vrijdagochtend geen douane gezien. Ik had alleen handbagage was dus ook zo buiten. Klaar.,Dutch,2.9109325
@user सुभाष चन्द्र बोस की,Hindi,2.7763863
Povo da minha sala é só derrame tmlc 🤦🏽‍♂️,Portuguese,2.492417
Quel est votre technique pour faire partir les plis d'une AF1???,French,2.406201
@user Comme chaque année. Je suis en mode : DEHORS !,French,2.4186425
@user ¿Estas cayendo en palida Hemano?,Spanish,2.7262821
I can’t help myself 🤷🏽‍♀️,English,2.6970308
@user Franchement ça a été,French,2.4388285
Hoy fue un dia productivo que exito!!,Spanish,2.5461218
所以各國才會有動物的傳說 動物的人形模樣的故事,Chinese,2.7495863
@user Comigo foi assim ❤,Portuguese,2.3259876
资源⬆️➕qq⬆️ #吴小瑞体育会新片速递：《火车》，国产的人体火车，运动的画风，更多细节处，超多的洞一同被肏出水。 #完整大约40多分钟 #吴小瑞体育会系列约20部特价出售 头像名字主页⬆️➕qq⬆️ http,Chinese,2.645485
So pretty. I can't 😭💖 http,English,2.6793995
What the fuck!,English,2.7255564
"@user @user Lovely old pub. When the NF used to have meetings in the room upstairs, it was known as ‘The Adolphi’",English,2.7169588
@user Brincalhão você kkkkkkkkkkk,Portuguese,2.7106664
@user من حينكم فخمين أفخم قطاع🇸🇦 الله يغفر له ويرحمه.,Arabic,2.473852
杖つよ,Chinese,2.7470803
"Feliz porque estoy en Portugal, aprendiendo un nuevo idioma y con muchas ganas de comerme al mundo 😏😂",Spanish,2.4694927
2 一个两情相悦但是没能在一起的故事。 我不解说我觉得没人能看懂这玩艺……!!! http,Chinese,2.7270448
"Si j’avais eu une autre personnalité et les formes d’intelligence adaptées, j’aurais bien aimé être médecin légiste.",French,2.591374
@user @user قحت دي ما الدعم السريع يعني ؟؟ 😂😂😂😂😂😂😂😂 ف زول قال لي لكن نسيت قحت دي شنو ف ختيتها الدعم السريع,Arabic,2.276436
Deal Corendon en KLM voor vluchten naar Cura�FDao http #IEX #AirFrance #KLM,Dutch,2.8156946
sabina muito cadelinha do cnco #MTVHitsDosUniters,Portuguese,2.5097587
बाँदा जल संरक्षण जागरूकता अभियान में प्रसिद्ध कॉमेडियन राजू श्रीवास्तव ! http,Hindi,2.5797973
"Le quise hacer un caño y el gil de mierda m escupió, dsp me disparaba todas pq si lo llegaba a enganchar, pero pobre locoo",Spanish,2.428308
@user We’re Nigerians na 😟 answer question with question 🤷🏽‍♂️,English,2.6033583
Mdr j’ai encore mal à la tête on adore,French,2.5740287
다들 사실은 민트 싫다하지만 사실은 좋아하는거 알고있어요! http,Korean,2.5685723
ألف مبروك يا @user ربنا يوفقك ويكرمك ودايما في تفوق ونجاح يارب دايما تكون مبسوط و بخير يا خو ❤️,Arabic,2.4962282
@umashankarsingh वो देवेंदर वाले मुद्दे का कुछ हो हल्ला नहीं हो रहा कुछ आपको पता लगे तो बताना,Hindi,2.741414
'De toeslagenaffaire bestaat uit leugens en plichtsverzuim!' | Politiek http via @YouTube,Dutch,2.8477585
@user Lukte mij wel😉 Fijne woensdag,Dutch,2.8443086
@user Triste realidade da vida da Hillary kkkkkkkkk,Portuguese,2.513155
मानव श्रृंखला पटना में माननीय डा.संजय जयसवाल जी प्रदेश अध्यक्ष भाजपा सह सासंद जी के साथ पटना में। http,Hindi,2.6001105
La giornata era partita davvero bene ma poi è andata un disastro sigh,Italian,2.6165047
"Rock in peace, @user",English,2.6281297
@user @user Soy Tauro pero podemos ser almas gemelas si quieres,Spanish,2.8064415
@user 모르겠네요 친해지자,Korean,2.592193
@user 好样的！,Chinese,2.4669704
"@user I don’t use it everyday, just on days when I swear hard like gym days or days I’ve been active outside",English,2.8343527
"Why is ""judge "" Eddie Munster Napolitano still flapping his gums on t.v.",English,2.598265
I went subatomic,English,2.7140245
@user @ewnreporter Says a man who assaulted Winnie Mandela in front of the whole world.,English,2.5644586
Lkkkkkkkkkk Ph querendo fazer lindinha no cabelo falou que vai ficar parecendo o Tupac😂😂😂😂😂😂😂😂😂,Portuguese,2.3803346
