,text,language,predictions
163,"@user É gratificante, te entendo!!! Sinto o mesmo 😍😍😍",Portuguese,2.973257303237915
164,i’ve only watched the first 20 mins of owl and the pussycat and i’m already in love. how have i been deprived of this for so long?????,English,3.720094680786133
165,@user Ze zegt toch ook dat demi tyler kan aanklagen hahdjshss,Dutch,1.0
166,sou oficialmente uma universitária caralho obgd deus eu sei que tu me sondas http,Portuguese,5.0
167,@user me lo consiglieresti?,Italian,1.5678856372833252
168,@CaoChangqing “这才是代表美国精神的美国人，那就是，无论面对什么困境，都有打不垮的乐观、自由、感恩！” 说得太好了，大赞！👍👍👍,Chinese,1.0
169,"#तस्मै_श्री_गुरवे_नमः मैं जीने के लिए अपने पिता की ऋणी हूँ, पर अच्छे से जीने के लिए अपने गुरु की। @user @user",Hindi,1.0
170,@user L’ho visto proprio adesso!!,Italian,1.0
171,@user @user @user nao tem problema vc ter medo de alguém http,Portuguese,1.0
172,हलका हलचल में देखिए आज क्या है आपके हलके में खास ? #MorningNews #Haryana http,Hindi,1.0
173,@HaraldDoornbos Moeten we hier nu medelijden mee krijgen?,Dutch,1.0
174,Eu ja to com meu cu fechado e nem chegou a hora da prova,Portuguese,1.3850517272949219
175,@user Ah ecco!! Questo mi rincuora 😂😂😂,Italian,2.6065871715545654
176,@user @SitaramYechury क्या सोच के इसका नाम सीताराम रखा?,Hindi,1.0
177,@user Il Parma non è da B. Meglio lui di Ashley Young,Italian,1.0
178,@user nossa oi vamo,Italian,1.0
179,@user जयचन्द हम शर्मिंदा है तेरे वारिस जिन्दा है। # Delhi Election.,Hindi,1.0
180,@user 꺅 당연하지! 다음에 데이또 꼭 하쟈💖 우리 아모 좋은하루 보내자앙❣️❣️,Korean,5.0
181,"- Sonríe a la vida, no solo a la cámara . ✨",Spanish,1.0
182,@user Oleee. Y compartirlo contigo y reírnos de lo divino y lo humano. Se te echa mucho de menos.,Spanish,4.734646320343018
183,@user Je trouve ça magnifique repartir de rien et créer la vie... finalement c’est un peu ressusciter !!!,French,1.6448948383331299
184,Lennar Corp to restate earnings after losing $140M to lawsuit in Maryland - South Florida Business Journal http,English,1.0
185,@user ah voilà mtn ça m’aide ça me dit qlqch,French,1.0962955951690674
186,No encuentro motivación ni de chiste,Spanish,2.0579802989959717
187,@user صباح الهنا والسعادة,Arabic,1.0
188,@user È bellissimaaa😭😍,Italian,1.184678554534912
189,"Gravata, perdón.",Spanish,1.0
190,Voy de mal en peor,Spanish,1.297790288925171
191,@Shehla_Rashid इमरान खान से लिखवा के ले आ जा... कोई नहीं तुझको सरण दे देंगे... !!!,Hindi,1.0
192,"#Bonolis sempre simpatico, non perde un'occasione #avantiunaltro",Italian,1.0
193,"Microsoft Windows 10, l'aggiornamento di maggio 2019 disponibile per il download http",Italian,1.0
194,@user 是我嗎😅,Chinese,1.0
195,स्याही जूता फिर थप्पड़ ये है राजनीति #LokSabhaElections2019,Hindi,1.0
196,@user @user Je le vois absolument pas le mec a sué pour RIEN,French,1.4719561338424683
197,Manda msg e apaga mais meu Whatsapp é o GB kkkkk,Portuguese,3.626873254776001
198,"Foda que tem altas mina gata nessa cidade mas nenhuma vale alguma coisa, só golpe em cima de golpe",Portuguese,2.3308987617492676
199,@user passo,Italian,1.0
200,@user Et une kiks pour @user UNE😂😂,French,1.0
201,"Alla fine la scelta la farà Manuel... Sceglierà Giulio, lui dirà di sì e andranno insieme a fare le risse #uominiedonne",Italian,1.0
202,"@user @user @user Trois tweets, et on ne comprend toujours rien à ce que vous dites...",French,1.0
203,Notre Dame qui prend feu le soir où Emmanuel Macron doit prendre la parole. COMME PAR HASARD,French,1.0
204,@user Proest! Dan hoop ik maar dat dit verhaal geen staartje krijgt! 🙃,Dutch,1.0
205,#호평동만남ㅇㅓ플 #호평동채팅ㅇㅓ플 #호평동ㅈㅗ건ㅇㅓ플 카툭 💖 AG665 🎎비아그라제공🎗️수위/횟수무제한 🧿와꾸 마인드 최고! #호평동만남사이트 #호평동실시간만남 #호평동원ㄴㅏ잇섹ㅍㅏ #호평동출장맛ㅅㅏㅈㅣ,Korean,1.1702196598052979
206,"Como cuestan los lunes amigo, debería ser feriado siempre",Spanish,1.0
207,@user Rohh ses tchoutch,French,1.0
208,eu e a letícia ficamos duas horas ali torrando no sol tô até revigorado,Portuguese,1.8068046569824219
209,no motivation left and the year just started,English,1.0
210,@user this why all ur irls are het,Dutch,2.0427656173706055
211,les messages mignons au réveil🥰,French,2.9230642318725586
212,Rico como lo mueve http,Spanish,5.0
213,ثق أني أحببتك كما لم أحب أحداً وأني قد أنسى كل شيء إلا أنت💘.,Arabic,5.0
214,#GodMorningThursday तमाखू का सेवन करने से गाय का खून पीने के समान पाप लगता है। http,Hindi,1.0
215,@user Sábado eu vou aí,Portuguese,1.0
216,@KingThelonious @MickeyChristmas Y’all never met me,Dutch,1.0
217,nao usava grafite 0.9 = aberração,Portuguese,1.0
218,الحمدلله رزقنا الله سبحانه وتعالي زيارة امير المؤمنين علي بن أبي طالب عليه افضل الصلاة والسلام http,Arabic,1.0
219,"والله إنكم فرحتي ورحَابة هالكُون وضيّه . ( @user ,@Ev2il1 )",Arabic,4.598104000091553
220,"@user (너를 마주 주시하다, 이내 상체를 숙여 시평선을 맞춘다.) 널 호명한 것을 인지했다면, 즉각 반응해야지. 대답.",Korean,4.933929920196533
221,"U rijdt met een #scootmobiel, met uw mobiele telefoon aan de hand door het centrum van uw stad..... Mag dit🤔😅😂 http",Dutch,1.0
222,@user يروح في برحه فاضيه ويجيب كرسي ولا يروح البر,Arabic,1.3824504613876343
223,"🌹 मिलावट का दौर है साहब... हां में हां मिला दिया करो,संबंध लम्बे समय तक टिकेंगे...",Hindi,1.4485585689544678
224,Segunda - feira e foda o cara não tem ânimo pra nada,Portuguese,1.0
225,#IPityTheFoolThat lives on the hill Sees the sun going down And the eyes in his head See the world spinning round http,English,1.0
226,J'ai dépassé officiellement le nombre de 100 vidéos monté pour @MrBboy45 ! C'est énorme ! Merci pour le soutien ❤️️,French,1.1893848180770874
227,"Pour le pape, l'interdit de l'avortement est humain, pas religieux http",French,1.0
228,तुम जमीन मेरे हिस्से की या आसमान सा छलावा तुम एहसान कोई मुझपर या महज़ पछतावा,Hindi,1.9838154315948486
229,alguien sabe si desde la app de cien ar se puede ver el cable en vivo? o hay que esperar hasta que suban el capitulo?,Spanish,1.0
230,@user @user अशोक नगर का है ये कोई भी वीडियो या पोस्ट पक्का करो फिर डालो एक साइड लड़का बोल रहा ये अशोक नगर का,Hindi,1.0
231,@user @user Y lo volveria a hacer,Spanish,1.0
232,बात ....... करोडो की दुकान ...... पकोड़ो की संगत .......भगोड़ों की आफत .....मज़दूरों की,Hindi,1.0
233,@user @user @user @user hey suggest me a laptop for gaming n personal use budget is 50-55k,English,2.4140145778656006
234,@user C'est @user direct,French,1.0
235,@user कौन सी क्रिम लगाती हो बोलो यार मेरे को भी white होना है parchhai कितनी गली हो चले गा😂😂😂😂,Hindi,1.2804203033447266
236,Gratidão a Deus por mais um dia sendo iniciado 🙌🏻❣️,Portuguese,1.0
237,@user @user con una navaja en el pescuezo todo se soluciona 🤓,Spanish,1.0
238,@user SKY scored 4 less runs just lol,English,1.0
239,"@eldiarioes ¿Que en VoX las mujeres están por detrás de los hombres? Chorprecha!!. Otra noticia, amiga, la lluvia moja.",Spanish,1.0
240,@user @felipeneto Aquele momento que eu não sei se este tweet é zoação ou sério...,Portuguese,1.1925607919692993
241,Joa hey quiero tomarrrr,Spanish,2.3073694705963135
242,caralho to com sono,Italian,1.0
243,", Brayden told my mama he not happy I’m having a baby😢.",English,5.0
244,삶은 뺑 오 쇼콜라다 http,Korean,1.0
245,@user @user pyjama is het beste want je bepaalt zelf wat je pyjama is,Dutch,1.0
246,@user @user Wilma heeft wel veel fantasie. Complottheorie fantasie. En zijn geen FvdD trollen.,Dutch,1.0
247,@ChineseWSJ 你他妈的搞有罪推定是吧,Chinese,1.0
248,"¿Medio ambiente, seguridad? El tape no fue el correcto candidata!! #DebatesCiudadanos",Spanish,1.0
249,@user Sisi ma capisco cioè 💜,Italian,3.995100736618042
250,Ya me cansan los threesome' y las orgías Ya me cansa que mi vida siga vacía,Spanish,5.0
251,@user कर बजी क्या सकती हो🙄🙄🙄,Hindi,1.0
252,@user Estas hablando con los creadores @user,Spanish,1.0
253,다 풀고왓다,Korean,1.0
254,@user Minnesota game all over again. Terrible late turnovers by Pritzl &amp; Happ.,English,1.0
255,@user @user @user Vabbè ma trovami uno che frequenta gli stadi a cui possa piacere...,Italian,1.0
256,"From here on out, using our greatest smiles and lovely singing voices, we'll make everyone happy♡",English,1.6128422021865845
257,@user opgerot met je onleesbare tweets denk ff na,Dutch,1.0
258,"@ZeeNews कुछ ""हरामी पत्रकारों"" की जलन से पता चलता है कि राहुल गांधी जी सही दिशा में जा रहें हैं। #NyayForIndia #RahulForBehtarBharat",Hindi,1.0
259,ابي قُربك ومتى فيك التقي ابي اغني ياسمِا شوفي من معَي.,Arabic,5.0
260,@user @user Il adore se retrouver devant les caméras ! et souhaite laisser son nom dans l’histoire (pas gagné!)🤡,French,1.0
261,@user en sois on à pour la plupart était un peu des deux même inconsciemment,French,1.0
262,@SaskiaBelleman Omdat ze gek zijn op die doofpot!!!😬😈👹👿👺👹👿,Dutch,2.5143001079559326
263,Private Yoga Instruction - Tailored to your needs http,English,1.0
264,"@user La vérité, ils ont eu que de la chance",French,1.0
265,우편토요일날올줄알앗는데 31;@;일에 부산우체국에 서멈춰잇음.대체왜요,Korean,1.0
266,"@rautsanjay61 माफी मांगते संजय राउते,फिर सत्य मेव जयते",Hindi,1.0
267,@user 自由の！！！ もとに！！！ 生まれた！！！！！！！！！！,Chinese,2.293407440185547
268,"La diferencia entre vos y yo, es que yo veo y me preocupo más allá de mi ego. Vos no.",Spanish,5.0
269,"@NOS Hebben we nog niet genoeg uit afrika "" gehaald""?",Dutch,1.0
270,「夢不到電子羊你還有獨角獸」&lt;&lt;決定了!!!這是我的新社團名,Chinese,1.0
271,제주자치경찰단장 후보 징계 ‘임명 안갯속’,Korean,1.0
272,@user @user Ik heb vrijdagochtend geen douane gezien. Ik had alleen handbagage was dus ook zo buiten. Klaar.,Dutch,1.0
273,@user सुभाष चन्द्र बोस की,Hindi,1.0
274,Povo da minha sala é só derrame tmlc 🤦🏽‍♂️,Portuguese,3.1543776988983154
275,Quel est votre technique pour faire partir les plis d'une AF1???,French,1.0
276,@user Comme chaque année. Je suis en mode : DEHORS !,French,1.962923526763916
277,@user ¿Estas cayendo en palida Hemano?,Spanish,1.0
278,I can’t help myself 🤷🏽‍♀️,English,1.0
279,@user Franchement ça a été,French,1.0
280,Hoy fue un dia productivo que exito!!,Spanish,1.0
281,所以各國才會有動物的傳說 動物的人形模樣的故事,Chinese,1.0
282,@user Comigo foi assim ❤,Portuguese,1.4643244743347168
283,资源⬆️➕qq⬆️ #吴小瑞体育会新片速递：《火车》，国产的人体火车，运动的画风，更多细节处，超多的洞一同被肏出水。 #完整大约40多分钟 #吴小瑞体育会系列约20部特价出售 头像名字主页⬆️➕qq⬆️ http,Chinese,4.418704509735107
284,So pretty. I can't 😭💖 http,English,1.0
285,What the fuck!,English,1.0
286,"@user @user Lovely old pub. When the NF used to have meetings in the room upstairs, it was known as ‘The Adolphi’",English,1.0
287,@user Brincalhão você kkkkkkkkkkk,Portuguese,1.0
288,@user من حينكم فخمين أفخم قطاع🇸🇦 الله يغفر له ويرحمه.,Arabic,1.1003365516662598
289,杖つよ,Chinese,1.5127118825912476
290,"Feliz porque estoy en Portugal, aprendiendo un nuevo idioma y con muchas ganas de comerme al mundo 😏😂",Spanish,3.7549922466278076
291,2 一个两情相悦但是没能在一起的故事。 我不解说我觉得没人能看懂这玩艺……!!! http,Chinese,2.5194613933563232
292,"Si j’avais eu une autre personnalité et les formes d’intelligence adaptées, j’aurais bien aimé être médecin légiste.",French,1.7389376163482666
293,@user @user قحت دي ما الدعم السريع يعني ؟؟ 😂😂😂😂😂😂😂😂 ف زول قال لي لكن نسيت قحت دي شنو ف ختيتها الدعم السريع,Arabic,2.984135627746582
294,Deal Corendon en KLM voor vluchten naar Cura�FDao http #IEX #AirFrance #KLM,Dutch,1.0
295,sabina muito cadelinha do cnco #MTVHitsDosUniters,Portuguese,1.0
296,बाँदा जल संरक्षण जागरूकता अभियान में प्रसिद्ध कॉमेडियन राजू श्रीवास्तव ! http,Hindi,1.0
297,"Le quise hacer un caño y el gil de mierda m escupió, dsp me disparaba todas pq si lo llegaba a enganchar, pero pobre locoo",Spanish,5.0
298,@user We’re Nigerians na 😟 answer question with question 🤷🏽‍♂️,English,1.0
299,Mdr j’ai encore mal à la tête on adore,French,1.0179835557937622
300,다들 사실은 민트 싫다하지만 사실은 좋아하는거 알고있어요! http,Korean,1.0
301,ألف مبروك يا @user ربنا يوفقك ويكرمك ودايما في تفوق ونجاح يارب دايما تكون مبسوط و بخير يا خو ❤️,Arabic,3.9860804080963135
302,@umashankarsingh वो देवेंदर वाले मुद्दे का कुछ हो हल्ला नहीं हो रहा कुछ आपको पता लगे तो बताना,Hindi,1.0
303,'De toeslagenaffaire bestaat uit leugens en plichtsverzuim!' | Politiek http via @YouTube,Dutch,1.0
304,@user Lukte mij wel😉 Fijne woensdag,Dutch,1.0
305,@user Triste realidade da vida da Hillary kkkkkkkkk,Portuguese,1.0
